Gender,Height,Weight,Index,BMI,Kategori
Male,174,96,4,31.708283789139912,Obesitas
Male,189,87,2,24.355421180818006,Normal
Female,185,110,4,32.14024835646457,Obesitas
Female,195,104,3,27.350427350427353,Overweight
Male,149,61,3,27.476239809017613,Overweight
Male,189,104,3,29.114526469023826,Overweight
Male,147,92,5,42.5748530704799,Obesitas
Male,154,111,5,46.80384550514421,Obesitas
Male,174,90,3,29.72651605231867,Overweight
Female,169,103,4,36.0631630545149,Obesitas
Male,195,81,2,21.301775147928996,Normal
Female,159,80,4,31.644317867172973,Obesitas
Female,192,101,3,27.39800347222222,Overweight
Male,155,51,2,21.227887617065555,Normal
Male,191,79,2,21.655108138483047,Normal
Female,153,107,5,45.70891537442864,Obesitas
Female,157,110,5,44.62655685829039,Obesitas
Male,140,129,5,65.81632653061226,Obesitas
Male,144,145,5,69.9266975308642,Obesitas
Male,172,139,5,46.9848566792861,Obesitas
Male,157,110,5,44.62655685829039,Obesitas
Female,153,149,5,63.650732624204366,Obesitas
Female,169,97,4,33.96239627464025,Obesitas
Male,185,139,5,40.6135865595325,Obesitas
Female,172,67,2,22.647376960519203,Normal
Female,151,64,3,28.068944344546292,Overweight
Male,190,95,3,26.315789473684212,Overweight
Male,187,62,1,17.72998941919986,Kurus
Female,163,159,5,59.844179306710835,Obesitas
Male,179,152,5,47.439218501295215,Obesitas
Male,153,121,5,51.68952112435388,Obesitas
Male,178,52,1,16.41206918318394,Kurus
Female,195,65,1,17.094017094017094,Kurus
Female,160,131,5,51.17187499999999,Obesitas
Female,157,153,5,62.07148363016755,Obesitas
Female,189,132,4,36.9530528260687,Obesitas
Female,197,114,3,29.374629596227678,Overweight
Male,144,80,4,38.58024691358025,Obesitas
Female,171,152,5,51.981806367771284,Obesitas
Female,185,81,2,23.66691015339664,Normal
Female,175,120,4,39.183673469387756,Obesitas
Female,149,108,5,48.64645736678528,Obesitas
Male,157,56,2,22.7189744005842,Normal
Male,161,118,5,45.52293507194938,Obesitas
Female,182,126,4,38.03888419273034,Obesitas
Male,185,76,2,22.205989773557338,Normal
Female,188,122,4,34.51788139429606,Obesitas
Male,181,111,4,33.88174964134184,Obesitas
Male,161,72,3,27.776706145596233,Overweight
Male,140,152,5,77.55102040816328,Obesitas
Female,168,135,5,47.831632653061234,Obesitas
Female,176,54,1,17.43285123966942,Kurus
Male,163,110,5,41.40163348263014,Obesitas
Male,172,105,4,35.49215792320173,Obesitas
Male,196,116,4,30.195751770095796,Obesitas
Female,187,89,3,25.45111384369012,Overweight
Male,172,92,4,31.09789075175771,Obesitas
Male,178,127,5,40.08332281277616,Obesitas
Female,164,70,3,26.026174895895306,Overweight
Male,143,88,5,43.03388918773535,Obesitas
Female,191,54,0,14.802225816178286,Kurus
Female,141,143,5,71.92797143000855,Obesitas
Male,193,54,0,14.49703347740879,Kurus
Male,190,83,2,22.991689750692522,Normal
Male,175,135,5,44.08163265306123,Obesitas
Female,179,158,5,49.3118192316095,Obesitas
Female,172,96,4,32.44997295835587,Obesitas
Female,168,59,2,20.904195011337873,Normal
Female,164,82,4,30.487804878048784,Obesitas
Female,194,136,4,36.13561483685833,Obesitas
Female,153,51,2,21.78649237472767,Normal
Male,178,117,4,36.92715566216387,Obesitas
Male,141,80,5,40.239424576228565,Obesitas
Male,180,75,2,23.148148148148145,Normal
Female,185,100,3,29.218407596785973,Overweight
Female,197,154,4,39.681517173851425,Obesitas
Male,165,104,4,38.200183654729116,Obesitas
Female,168,90,4,31.88775510204082,Obesitas
Female,176,122,4,39.385330578512395,Obesitas
Male,181,51,0,15.567290375751655,Kurus
Male,164,75,3,27.885187388459254,Overweight
Female,166,140,5,50.80563216722311,Obesitas
Female,190,105,3,29.085872576177287,Overweight
Male,186,118,4,34.10798936293212,Obesitas
Male,168,123,5,43.57993197278912,Obesitas
Male,198,50,0,12.753800632588511,Kurus
Female,175,141,5,46.04081632653061,Obesitas
Male,145,117,5,55.648038049940546,Obesitas
Female,159,104,5,41.13761322732486,Obesitas
Female,185,140,5,40.90577063550036,Obesitas
Female,178,154,5,48.604974119429365,Obesitas
Female,183,96,3,28.666129176744597,Overweight
Female,194,111,3,29.4930385800829,Overweight
Male,177,61,2,19.4707778735357,Normal
Male,197,119,4,30.66299054343065,Obesitas
Female,170,156,5,53.979238754325266,Obesitas
Male,142,69,4,34.21940091251736,Obesitas
Male,160,139,5,54.29687499999999,Obesitas
Male,195,69,1,18.14595660749507,Kurus
Female,190,50,0,13.850415512465375,Kurus
Male,199,156,4,39.392944622610536,Obesitas
Male,154,105,5,44.27390791027155,Obesitas
Male,161,155,5,59.797075730102996,Obesitas
Female,198,145,4,36.98602183450669,Obesitas
Female,192,140,4,37.97743055555556,Obesitas
Male,195,126,4,33.13609467455621,Obesitas
Male,166,160,5,58.06357961968356,Obesitas
Male,159,154,5,60.915311894307976,Obesitas
Female,181,106,4,32.35554470254266,Obesitas
Male,149,66,3,29.72839061303545,Overweight
Female,150,70,4,31.11111111111111,Obesitas
Female,146,157,5,73.65359354475513,Obesitas
Male,190,135,4,37.39612188365651,Obesitas
Female,192,90,2,24.4140625,Normal
Female,177,96,4,30.642535669826675,Obesitas
Male,148,60,3,27.39225712198685,Overweight
Female,165,57,2,20.936639118457304,Normal
Female,146,104,5,48.78964158378683,Obesitas
Male,144,108,5,52.083333333333336,Obesitas
Female,176,156,5,50.361570247933884,Obesitas
Female,168,87,4,30.824829931972793,Obesitas
Male,187,122,4,34.888043695844885,Obesitas
Male,187,138,4,39.46352483628356,Obesitas
Female,184,160,5,47.25897920604915,Obesitas
Female,158,149,5,59.685947764781275,Obesitas
Male,158,96,4,38.45537574106713,Obesitas
Male,194,115,4,30.55585078116697,Obesitas
Female,145,79,4,37.574316290130795,Obesitas
Male,182,151,5,45.58628185001811,Obesitas
Male,154,54,2,22.76943835385394,Normal
Female,168,139,5,49.248866213151935,Obesitas
Female,187,70,2,20.0177299894192,Normal
Female,158,153,5,61.28825508732574,Obesitas
Female,167,110,4,39.442073935960416,Obesitas
Female,171,155,5,53.00776307239835,Obesitas
Female,183,150,5,44.790826838663435,Obesitas
Female,190,156,5,43.21329639889197,Obesitas
Male,194,108,3,28.69592942926985,Overweight
